                  »_Éî300 (399300),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
      Ê±_ä,    ¿ªÅÌ,    _î¸ß,    _îµÍ,    ÊÕÅÌ,         _É_»Á¿,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,VOL-TDX.VVOL  ,VOL-TDX.      ,VOL-TDX.VOLUME,VOL-TDX.MAVOL1,VOL-TDX.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
,,,,,,,,,,,,,,,,,
 2005/01/04,994.76,994.76,980.65,982.79,7412869,           ,           ,           ,           ,           ,0,7412869,           ,           ,0,0,0
 2005/01/05,981.57,997.32,979.87,992.56,7119109,           ,           ,           ,           ,           ,0,7119109,           ,           ,0.78,0.16,1.25
 2005/01/06,993.33,993.78,980.33,983.17,6288028,           ,           ,           ,           ,           ,0,6288028,           ,           ,0.63,0.25,0.76
 2005/01/07,983.04,995.71,979.81,983.95,7298694,           ,           ,           ,           ,           ,0,7298694,           ,           ,0.57,0.32,0.51
 2005/01/10,983.76,993.95,979.78,993.87,5791697,987.27,           ,           ,           ,           ,0,5791697,6782079.5,           ,1.31,0.51,1.59
 2005/01/11,994.18,999.55,991.09,997.13,5849079,990.14,           ,           ,           ,           ,0,5849079,6469321.5,           ,2.13,0.84,2.59
 2005/01/12,996.65,996.97,989.25,996.74,5014525,990.97,           ,           ,           ,           ,0,5014525,6048404.5,           ,2.72,1.21,3.01
 2005/01/13,996.07,999.47,992.69,996.87,6044065,993.71,           ,           ,           ,           ,0,6044065,5999612,           ,3.16,1.6,3.12
 2005/01/14,996.61,1006.46,987.23,988.3,7297842,994.58,           ,           ,           ,           ,0,7297842,5999441.5,           ,2.79,1.84,1.9
 2005/01/17,979.11,981.52,965.07,967.45,7288188,989.3,988.28,           ,           ,           ,0,7288188,6298740,6540409.5,0.8,1.63,-1.66
 2005/01/18,967.37,974.87,960.29,974.68,7311847,984.81,987.47,           ,           ,           ,0,7311847,6591293.5,6530307.5,-0.19,1.27,-2.92
 2005/01/19,974.33,974.33,965.25,967.21,6338090,978.9,984.94,           ,           ,           ,0,6338090,6856006.5,6452205.5,-1.56,0.7,-4.52
 2005/01/20,963.21,963.21,952.23,956.24,7727106,970.78,982.24,           ,           ,           ,0,7727106,7192614.5,6596113.5,-3.49,-0.14,-6.71
 2005/01/21,954.46,984.27,943.43,982.6,14450059,969.64,982.11,           ,           ,           ,0,14450059,8623058,7311250,-2.86,-0.68,-4.36
 2005/01/24,1001.85,1001.85,986.23,998.13,14359461,975.77,982.53,           ,           ,           ,0,14359461,10037313,8168026,-1.09,-0.76,-0.66
 2005/01/25,995.63,997.95,985.23,997.77,9862529,980.39,982.6,           ,           ,           ,0,9862529,10547449,8569371,0.27,-0.56,1.66
 2005/01/26,995.78,999.47,988.47,989.92,7663290,984.93,981.92,           ,           ,           ,0,7663290,10812489,8834248,0.71,-0.3,2.03
 2005/01/27,987.34,987.7,973.77,974.63,6945365,988.61,979.69,           ,           ,           ,0,6945365,10656141,8924378,-0.17,-0.27,0.21
 2005/01/28,974.63,975.62,965.2,969.2,5748807,985.93,977.78,           ,           ,           ,0,5748807,8915890,8769474,-1.29,-0.48,-1.62
 2005/01/31,965.78,965.78,953.14,954.87,6788706,977.28,976.53,982.4,           ,           ,0,6788706,7401739.5,8719526,-3.3,-1.04,-4.51
 2005/02/01,953.33,965.47,952.74,955.95,7433066,968.91,974.65,981.06,           ,           ,0,7433066,6915847,8731648,-4.75,-1.78,-5.93
 2005/02/02,956.7,1006.93,956.7,1006.91,17057338,972.31,978.62,981.78,           ,           ,0,17057338,8794656,9803573,-1.76,-1.78,0.03
 2005/02/03,1005.56,1014.18,992.15,993.21,16974540,976.03,982.32,982.28,           ,           ,0,16974540,10800491,10728316,-0.5,-1.52,2.05
 2005/02/04,992.25,1021.02,989.93,1016.85,15736215,985.56,985.74,983.93,           ,           ,0,15736215,12797973,10856932,2.38,-0.74,6.25
