time,closing,moving average,signal
5/5/14 0:00,2156.47,-1,N/A
5/6/14 0:00,2157.33,-1,N/A
5/7/14 0:00,2137.32,-1,N/A
5/8/14 0:00,2135.5,-1,N/A
5/9/14 0:00,2133.91,-1,N/A
5/12/14 0:00,2180.05,-1,N/A
5/13/14 0:00,2174.85,-1,N/A
5/14/14 0:00,2172.37,-1,N/A
5/15/14 0:00,2144.08,-1,N/A
5/16/14 0:00,2145.95,-1,N/A
5/19/14 0:00,2115.14,-1,N/A
5/20/14 0:00,2115.77,-1,N/A
5/21/14 0:00,2135.91,-1,N/A
5/22/14 0:00,2130.87,-1,N/A
5/23/14 0:00,2148.41,-1,N/A
5/26/14 0:00,2155.98,-1,N/A
5/27/14 0:00,2147.28,-1,N/A
5/28/14 0:00,2169.35,-1,N/A
5/29/14 0:00,2155.16,-1,N/A
5/30/14 0:00,2156.46,-1,N/A
6/3/14 0:00,2149.92,-1,N/A
6/4/14 0:00,2128.27,-1,N/A
6/5/14 0:00,2150.6,-1,N/A
6/6/14 0:00,2134.72,-1,N/A
6/9/14 0:00,2134.28,-1,N/A
6/10/14 0:00,2161.27,-1,N/A
6/11/14 0:00,2160.77,-1,N/A
6/12/14 0:00,2153.41,-1,N/A
6/13/14 0:00,2176.24,-1,N/A
6/16/14 0:00,2191.86,-1,N/A
6/17/14 0:00,2169.67,-1,N/A
6/18/14 0:00,2160.24,-1,N/A
6/19/14 0:00,2126.91,-1,N/A
6/20/14 0:00,2136.73,-1,N/A
6/23/14 0:00,2134.11,-1,N/A
6/24/14 0:00,2144.82,-1,N/A
6/25/14 0:00,2133.37,-1,N/A
6/26/14 0:00,2149.08,-1,N/A
6/27/14 0:00,2150.26,-1,N/A
6/30/14 0:00,2165.12,-1,N/A
7/1/14 0:00,2164.56,-1,N/A
7/2/14 0:00,2170.87,-1,N/A
7/3/14 0:00,2180.19,-1,N/A
7/4/14 0:00,2178.7,-1,N/A
7/7/14 0:00,2176.29,-1,N/A
7/8/14 0:00,2180.47,-1,N/A
7/9/14 0:00,2148.71,-1,N/A
7/10/14 0:00,2142.85,-1,N/A
7/11/14 0:00,2148.01,-1,N/A
7/14/14 0:00,2171.76,-1,N/A
7/15/14 0:00,2174.98,-1,N/A
7/16/14 0:00,2170.87,-1,N/A
7/17/14 0:00,2157.07,-1,N/A
7/18/14 0:00,2164.14,-1,N/A
7/21/14 0:00,2166.29,-1,N/A
7/22/14 0:00,2192.7,-1,N/A
7/23/14 0:00,2197.83,-1,N/A
7/24/14 0:00,2237.01,-1,N/A
7/25/14 0:00,2260.45,-1,N/A
7/28/14 0:00,2323.9,2161.457667,Buy in the next trading day
7/29/14 0:00,2331.37,2164.372667,
7/30/14 0:00,2322.01,2167.117333,
7/31/14 0:00,2350.25,2170.666167,
8/1/14 0:00,2329.4,2173.897833,
8/4/14 0:00,2375.62,2177.926333,
8/5/14 0:00,2369.35,2181.081333,
8/6/14 0:00,2363.22,2184.220833,
8/7/14 0:00,2327.46,2186.805667,
8/8/14 0:00,2331.13,2189.923167,
8/11/14 0:00,2365.35,2193.579833,
8/12/14 0:00,2357.05,2197.611667,
